Train_Dataset,Test_Dataset,Type,MAE,R2,MAE_Change_%,R2_Change_%
ETTh1,ETTh1,Same-dataset (baseline),1.0897292232055993,-0.07746485165601835,,
ETTh1,ETTh2,Cross-dataset,0.46765183820574635,-0.2629978465838556,-57.08550085221359,239.50603526834863
ETTh1,ETTm1,Cross-dataset,1.2058403115035716,-0.25159541344817393,10.655040337122871,224.78654263146342
ETTh1,weather,Cross-dataset,0.3504646721748963,0.8374736250069366,-67.83928844782626,-1181.1014377536371
ETTh1,electricity,Cross-dataset,0.3856645262128142,0.5755292095860023,-64.60914161058055,-842.9552852455357
ETTh1,traffic,Cross-dataset,0.8448727082121652,-0.407811575652107,-22.46948230617809,426.44724276112856
ETTh2,ETTh2,Same-dataset (baseline),0.48279437639971534,-0.3439844770008631,,
ETTh2,ETTh1,Cross-dataset,1.0161898940105871,0.09254396291565614,110.48088869396082,-126.90352882273346
ETTh2,ETTm1,Cross-dataset,1.5171942918992367,-0.9417807913269838,214.2526852141957,173.78584043623013
ETTh2,weather,Cross-dataset,0.34416522262315047,0.8326265462674318,-28.713912289191818,-342.0535233237698
ETTh2,electricity,Cross-dataset,0.40657893802288386,0.5656216383084472,-15.786314444087715,-264.4323148649025
ETTh2,traffic,Cross-dataset,0.8692848527301221,-0.27480933120201145,80.05281238206126,-20.109961473255108
ETTm1,ETTm1,Same-dataset (baseline),1.0323450306983653,0.07684239649697577,,
ETTm1,ETTh1,Cross-dataset,1.030688270533979,-0.023185606863572072,-0.16048512029601517,130.17293567163094
ETTm1,ETTh2,Cross-dataset,0.5589198935473023,-0.806359708489663,-45.859196593487574,1149.36824624073
ETTm1,weather,Cross-dataset,0.36851286983895293,0.8336335498487552,-64.30332312544192,-984.8614669137289
ETTm1,electricity,Cross-dataset,0.44937788367486087,0.3656263826671736,-56.470184840153316,-375.81335217930547
ETTm1,traffic,Cross-dataset,0.9728527952245082,-0.785981855267589,-5.762824802247704,1122.8492226924784
weather,weather,Same-dataset (baseline),0.31413463738847525,0.8951069961467385,,
weather,ETTh1,Cross-dataset,6.049154075948591,-33.53602230901031,1825.6565039237912,3846.5936981138975
weather,ETTh2,Cross-dataset,2.194690484824864,-27.265536532118443,598.6464476092763,3146.0645095492796
weather,ETTm1,Cross-dataset,3.749124855484134,-13.805469031503517,1093.4770666017866,1642.3261231264391
weather,electricity,Cross-dataset,1.7978740879335888,-11.024750944178788,472.3259628037274,1331.6685035016144
weather,traffic,Cross-dataset,4.916158353618004,-52.068158301444825,1464.9844902453167,5916.975906298143
electricity,electricity,Same-dataset (baseline),0.3497800802181019,0.6118632518152796,,
electricity,ETTh1,Cross-dataset,0.7663833374451082,0.44930020738348486,119.10434035215427,26.568525556895544
electricity,ETTh2,Cross-dataset,0.4182594130971161,-0.0518024101343415,19.577825254175306,108.46633785909741
electricity,ETTm1,Cross-dataset,1.5475348320216142,-1.0986152041429893,342.4308071107606,279.5524083009743
electricity,weather,Cross-dataset,0.29186818012886784,0.8801012291336509,-16.55666041734672,-43.839530568727774
electricity,traffic,Cross-dataset,0.6632616400367323,0.14858035834341943,89.6224735334162,75.716737701993
traffic,traffic,Same-dataset (baseline),0.7168625444356744,0.017976456212677072,,
traffic,ETTh1,Cross-dataset,1.182209380862896,-0.24216351734852593,64.91437445564266,1447.114884510726
traffic,ETTh2,Cross-dataset,1.242426768700526,-5.765097777267552,73.3145047602653,32170.2685171173
traffic,ETTm1,Cross-dataset,2.2269693891035947,-2.9108375337668693,210.65500721016193,16292.499229709882
traffic,weather,Cross-dataset,1.040294563827804,-0.21321188275187652,45.11771774137543,1286.0618145723215
traffic,electricity,Cross-dataset,0.935841209421346,-0.4755010737854066,30.54681356773285,2745.132434111687
